Geo__geoid_	Geo_qname	Geo_STUSAB	Geo_SUMLEV	Geo_GEOCOMP	Geo_US	Geo_REGION	Geo_DIVISION	Geo_STATE	Geo_COUNTY	Geo_COUSUB	Geo_PLACE	Geo_TRACT	Geo_BLKGRP	Geo_CONCIT	Geo_AIANHH	Geo_AIANHHFP	Geo_AIHHTLI	Geo_AITS	Geo_ANRC	Geo_CBSA	Geo_CSA	Geo_METDIV	Geo_MACC	Geo_MEMI	Geo_NECTA	Geo_CNECTA	Geo_NECTADIV	Geo_UA	Geo_CDCURR	Geo_SLDU	Geo_SLDL	Geo_ZCTA3	Geo_ZCTA5	Geo_SUBMCD	Geo_SDELM	Geo_SDSEC	Geo_SDUNI	Geo_UR	Geo_PCI	Geo_PUMA5	Geo_GEO_ID	Geo_NAME	Geo_BTTR	Geo_BTBG	Geo_PLACESE	SE_A12002_001	SE_A12002_002	SE_A12002_003	SE_A12002_004	SE_A12002_005	SE_A12002_006	SE_A12002_007	SE_A12002_008
"21111010313"	"Census Tract 103.13, Jefferson County, Kentucky"	"KY"	140	0	.	.	.	21	111	.	.	10313	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"1400000US21111010313"	"Census Tract 103.13, Jefferson County, Kentucky"	""	""	21	4593	52	290	681	1754	1076	323	417
"21111010314"	"Census Tract 103.14, Jefferson County, Kentucky"	"KY"	140	0	.	.	.	21	111	.	.	10314	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"1400000US21111010314"	"Census Tract 103.14, Jefferson County, Kentucky"	""	""	21	4503	118	365	1358	1647	797	102	116
"21111010315"	"Census Tract 103.15, Jefferson County, Kentucky"	"KY"	140	0	.	.	.	21	111	.	.	10315	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"1400000US21111010315"	"Census Tract 103.15, Jefferson County, Kentucky"	""	""	21	2773	68	186	528	1335	561	60	35
"21111010316"	"Census Tract 103.16, Jefferson County, Kentucky"	"KY"	140	0	.	.	.	21	111	.	.	10316	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"1400000US21111010316"	"Census Tract 103.16, Jefferson County, Kentucky"	""	""	21	4392	64	344	828	1813	1030	155	158
"21111010317"	"Census Tract 103.17, Jefferson County, Kentucky"	"KY"	140	0	.	.	.	21	111	.	.	10317	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"1400000US21111010317"	"Census Tract 103.17, Jefferson County, Kentucky"	""	""	21	3473	77	221	684	1326	650	332	183
"21111010318"	"Census Tract 103.18, Jefferson County, Kentucky"	"KY"	140	0	.	.	.	21	111	.	.	10318	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"1400000US21111010318"	"Census Tract 103.18, Jefferson County, Kentucky"	""	""	21	3655	42	244	808	1505	612	286	158
"21111010319"	"Census Tract 103.19, Jefferson County, Kentucky"	"KY"	140	0	.	.	.	21	111	.	.	10319	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"1400000US21111010319"	"Census Tract 103.19, Jefferson County, Kentucky"	""	""	21	3355	182	527	930	1199	442	61	14
"21111010320"	"Census Tract 103.20, Jefferson County, Kentucky"	"KY"	140	0	.	.	.	21	111	.	.	10320	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"1400000US21111010320"	"Census Tract 103.20, Jefferson County, Kentucky"	""	""	21	2711	179	584	846	731	302	44	25
"21111010321"	"Census Tract 103.21, Jefferson County, Kentucky"	"KY"	140	0	.	.	.	21	111	.	.	10321	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"1400000US21111010321"	"Census Tract 103.21, Jefferson County, Kentucky"	""	""	21	3835	42	305	967	1358	861	149	153
"21111010322"	"Census Tract 103.22, Jefferson County, Kentucky"	"KY"	140	0	.	.	.	21	111	.	.	10322	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"1400000US21111010322"	"Census Tract 103.22, Jefferson County, Kentucky"	""	""	21	2075	97	200	532	889	289	11	57
"21111010323"	"Census Tract 103.23, Jefferson County, Kentucky"	"KY"	140	0	.	.	.	21	111	.	.	10323	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"1400000US21111010323"	"Census Tract 103.23, Jefferson County, Kentucky"	""	""	21	2186	18	435	580	744	232	76	101
"21111010324"	"Census Tract 103.24, Jefferson County, Kentucky"	"KY"	140	0	.	.	.	21	111	.	.	10324	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"1400000US21111010324"	"Census Tract 103.24, Jefferson County, Kentucky"	""	""	21	3148	156	596	1102	766	416	42	70
"21111010403"	"Census Tract 104.03, Jefferson County, Kentucky"	"KY"	140	0	.	.	.	21	111	.	.	10403	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"1400000US21111010403"	"Census Tract 104.03, Jefferson County, Kentucky"	""	""	21	3177	14	459	981	836	503	272	112
"21111010405"	"Census Tract 104.05, Jefferson County, Kentucky"	"KY"	140	0	.	.	.	21	111	.	.	10405	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"1400000US21111010405"	"Census Tract 104.05, Jefferson County, Kentucky"	""	""	21	3336	135	517	811	1008	609	185	71
"21111010406"	"Census Tract 104.06, Jefferson County, Kentucky"	"KY"	140	0	.	.	.	21	111	.	.	10406	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"1400000US21111010406"	"Census Tract 104.06, Jefferson County, Kentucky"	""	""	21	4204	61	486	809	1441	834	350	223
"21111010407"	"Census Tract 104.07, Jefferson County, Kentucky"	"KY"	140	0	.	.	.	21	111	.	.	10407	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"1400000US21111010407"	"Census Tract 104.07, Jefferson County, Kentucky"	""	""	21	2642	54	398	634	827	563	123	43
"21111010408"	"Census Tract 104.08, Jefferson County, Kentucky"	"KY"	140	0	.	.	.	21	111	.	.	10408	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"1400000US21111010408"	"Census Tract 104.08, Jefferson County, Kentucky"	""	""	21	3089	177	477	903	981	485	46	20
