Geo_FIPS	Geo_QName	Geo_FILEID	Geo_STUSAB	Geo_SUMLEV	Geo_GEOCOMP	Geo_LOGRECNO	Geo_US	Geo_REGION	Geo_DIVISION	Geo_STATECE	Geo_STATE	Geo_COUNTY	Geo_COUSUB	Geo_PLACE	Geo_TRACT	Geo_BLKGRP	Geo_CONCIT	Geo_AIANHH	Geo_AIANHHFP	Geo_AIHHTLI	Geo_AITSCE	Geo_AITS	Geo_ANRC	Geo_CBSA	Geo_CSA	Geo_METDIV	Geo_MACC	Geo_MEMI	Geo_NECTA	Geo_CNECTA	Geo_NECTADIV	Geo_UA	Geo_UACP	Geo_CDCURR	Geo_SLDU	Geo_SLDL	Geo_VTD	Geo_ZCTA3	Geo_ZCTA5	Geo_SUBMCD	Geo_SDELM	Geo_SDSEC	Geo_SDUNI	Geo_UR	Geo_PCI	Geo_TAZ	Geo_UGA	Geo_PUMA5	Geo_PUMA1	Geo_GEOID	Geo_NAME	Geo_BTTR	Geo_BTBG	Geo_PLACESE	SE_A12002_001	SE_A12002_002	SE_A12002_003	SE_A12002_004	SE_A12002_005	SE_A12002_006	SE_A12002_007	SE_A12002_008
"21209040601"	"Census Tract 406.01, Scott County, Kentucky"	"ACSSF"	"ky"	"140"	"00"	"0003006"	""	""	""	""	"21"	"209"	""	""	"040601"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US21209040601"	"Census Tract 406.01"	""	""	""	2713	121	513	531	996	362	126	64
"21209040604"	"Census Tract 406.04, Scott County, Kentucky"	"ACSSF"	"ky"	"140"	"00"	"0003007"	""	""	""	""	"21"	"209"	""	""	"040604"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US21209040604"	"Census Tract 406.04"	""	""	""	1642	40	205	536	525	249	57	30
"21209040605"	"Census Tract 406.05, Scott County, Kentucky"	"ACSSF"	"ky"	"140"	"00"	"0003008"	""	""	""	""	"21"	"209"	""	""	"040605"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US21209040605"	"Census Tract 406.05"	""	""	""	1747	61	299	671	405	215	57	39
"21209040606"	"Census Tract 406.06, Scott County, Kentucky"	"ACSSF"	"ky"	"140"	"00"	"0003009"	""	""	""	""	"21"	"209"	""	""	"040606"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US21209040606"	"Census Tract 406.06"	""	""	""	1701	90	466	557	242	346	0	0
"21209040607"	"Census Tract 406.07, Scott County, Kentucky"	"ACSSF"	"ky"	"140"	"00"	"0003010"	""	""	""	""	"21"	"209"	""	""	"040607"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US21209040607"	"Census Tract 406.07"	""	""	""	2082	178	681	797	295	78	10	43
"21211040101"	"Census Tract 401.01, Shelby County, Kentucky"	"ACSSF"	"ky"	"140"	"00"	"0003011"	""	""	""	""	"21"	"211"	""	""	"040101"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US21211040101"	"Census Tract 401.01"	""	""	""	2665	280	892	810	505	118	35	25
"21211040102"	"Census Tract 401.02, Shelby County, Kentucky"	"ACSSF"	"ky"	"140"	"00"	"0003012"	""	""	""	""	"21"	"211"	""	""	"040102"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US21211040102"	"Census Tract 401.02"	""	""	""	3578	329	1331	1149	345	345	28	51
"21211040201"	"Census Tract 402.01, Shelby County, Kentucky"	"ACSSF"	"ky"	"140"	"00"	"0003013"	""	""	""	""	"21"	"211"	""	""	"040201"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US21211040201"	"Census Tract 402.01"	""	""	""	2250	250	629	845	299	227	0	0
"21211040202"	"Census Tract 402.02, Shelby County, Kentucky"	"ACSSF"	"ky"	"140"	"00"	"0003014"	""	""	""	""	"21"	"211"	""	""	"040202"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US21211040202"	"Census Tract 402.02"	""	""	""	3253	354	797	781	895	246	110	70
"21211040301"	"Census Tract 403.01, Shelby County, Kentucky"	"ACSSF"	"ky"	"140"	"00"	"0003015"	""	""	""	""	"21"	"211"	""	""	"040301"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US21211040301"	"Census Tract 403.01"	""	""	""	3239	970	1007	843	293	111	15	0
