Geo__geoid_	Geo__geo_level_	Geo_NAME	Geo_qname	Geo_AREALAND	Geo_AREAWATER	SE_A12002_001	SE_A12002_002	SE_A12002_003	SE_A12002_004	SE_A12002_005	SE_A12002_006	SE_A12002_007	SE_A12002_008
"21019031102"	"SL140"	"Census Tract 311.02, Boyd County, Kentucky"	"Census Tract 311.02, Boyd County, Kentucky"	118558234	136763	1459	34	504	600	175	92	33	21
"21019031200"	"SL140"	"Census Tract 312, Boyd County, Kentucky"	"Census Tract 312, Boyd County, Kentucky"	84954511	213233	2412	281	855	908	265	93	10	0
"21019031300"	"SL140"	"Census Tract 313, Boyd County, Kentucky"	"Census Tract 313, Boyd County, Kentucky"	12571198	1048976	1633	248	723	559	47	34	22	0
"21021930100"	"SL140"	"Census Tract 9301, Boyle County, Kentucky"	"Census Tract 9301, Boyle County, Kentucky"	30990425	1108686	4781	434	1849	1135	638	601	85	39
"21021930200"	"SL140"	"Census Tract 9302, Boyle County, Kentucky"	"Census Tract 9302, Boyle County, Kentucky"	58230172	2555691	3210	199	936	913	459	580	111	12
"21021930300"	"SL140"	"Census Tract 9303, Boyle County, Kentucky"	"Census Tract 9303, Boyle County, Kentucky"	3591538	20488	1382	124	518	439	167	103	17	14
"21021930400"	"SL140"	"Census Tract 9304, Boyle County, Kentucky"	"Census Tract 9304, Boyle County, Kentucky"	12815425	57295	3055	263	1330	1083	257	105	9	8
"21021930500"	"SL140"	"Census Tract 9305, Boyle County, Kentucky"	"Census Tract 9305, Boyle County, Kentucky"	93933378	757416	2482	173	596	770	605	240	83	15
"21021930600"	"SL140"	"Census Tract 9306, Boyle County, Kentucky"	"Census Tract 9306, Boyle County, Kentucky"	176671136	1614721	2724	286	1029	638	544	184	24	19
"21021930700"	"SL140"	"Census Tract 9307, Boyle County, Kentucky"	"Census Tract 9307, Boyle County, Kentucky"	90835810	372380	3284	275	1644	801	396	113	55	0
"21023950100"	"SL140"	"Census Tract 9501, Bracken County, Kentucky"	"Census Tract 9501, Bracken County, Kentucky"	119638990	9071746	1823	142	765	489	245	164	13	5
"21023950200"	"SL140"	"Census Tract 9502, Bracken County, Kentucky"	"Census Tract 9502, Bracken County, Kentucky"	135392482	6422768	1278	126	584	309	131	103	25	0
"21023950300"	"SL140"	"Census Tract 9503, Bracken County, Kentucky"	"Census Tract 9503, Bracken County, Kentucky"	269868985	785238	2783	369	1073	977	136	216	12	0
"21025920200"	"SL140"	"Census Tract 9202, Breathitt County, Kentucky"	"Census Tract 9202, Breathitt County, Kentucky"	187282053	1415877	1498	125	558	545	149	102	8	11
"21025920301"	"SL140"	"Census Tract 9203.01, Breathitt County, Kentucky"	"Census Tract 9203.01, Breathitt County, Kentucky"	32516536	868459	1404	258	755	197	83	94	17	0
"21025920302"	"SL140"	"Census Tract 9203.02, Breathitt County, Kentucky"	"Census Tract 9203.02, Breathitt County, Kentucky"	17920435	228973	957	177	322	254	87	74	30	13
"21025920500"	"SL140"	"Census Tract 9205, Breathitt County, Kentucky"	"Census Tract 9205, Breathitt County, Kentucky"	175655168	699929	1303	249	653	211	76	83	31	0
"21025920600"	"SL140"	"Census Tract 9206, Breathitt County, Kentucky"	"Census Tract 9206, Breathitt County, Kentucky"	139592229	1117105	1063	271	373	276	75	68	0	0
"21025920700"	"SL140"	"Census Tract 9207, Breathitt County, Kentucky"	"Census Tract 9207, Breathitt County, Kentucky"	234833298	1146672	1292	307	471	324	93	63	29	5
"21025920800"	"SL140"	"Census Tract 9208, Breathitt County, Kentucky"	"Census Tract 9208, Breathitt County, Kentucky"	487566787	1893789	2042	499	897	374	170	102	0	0
"21027960100"	"SL140"	"Census Tract 9601, Breckinridge County, Kentucky"	"Census Tract 9601, Breckinridge County, Kentucky"	396413941	12511105	3512	489	1678	889	374	30	8	44
"21027960200"	"SL140"	"Census Tract 9602, Breckinridge County, Kentucky"	"Census Tract 9602, Breckinridge County, Kentucky"	220899739	1192188	3648	427	1534	1064	420	133	70	0
"21027960300"	"SL140"	"Census Tract 9603, Breckinridge County, Kentucky"	"Census Tract 9603, Breckinridge County, Kentucky"	286339140	12323132	1987	259	882	651	104	61	30	0
"21027960400"	"SL140"	"Census Tract 9604, Breckinridge County, Kentucky"	"Census Tract 9604, Breckinridge County, Kentucky"	185840250	3688387	1094	77	505	283	82	142	5	0
"21027960501"	"SL140"	"Census Tract 9605.01, Breckinridge County, Kentucky"	"Census Tract 9605.01, Breckinridge County, Kentucky"	147423251	658315	1721	435	544	625	97	20	0	0
"21027960502"	"SL140"	"Census Tract 9605.02, Breckinridge County, Kentucky"	"Census Tract 9605.02, Breckinridge County, Kentucky"	238663945	10725707	2478	353	1068	629	297	80	36	15
"21029020101"	"SL140"	"Census Tract 201.01, Bullitt County, Kentucky"	"Census Tract 201.01, Bullitt County, Kentucky"	4892385	13584	3010	361	867	1157	469	96	9	51
"21029020102"	"SL140"	"Census Tract 201.02, Bullitt County, Kentucky"	"Census Tract 201.02, Bullitt County, Kentucky"	10195779	119681	2474	227	788	806	505	103	22	23
"21029020103"	"SL140"	"Census Tract 201.03, Bullitt County, Kentucky"	"Census Tract 201.03, Bullitt County, Kentucky"	24151977	318949	2398	64	777	968	332	206	42	9
"21029020201"	"SL140"	"Census Tract 202.01, Bullitt County, Kentucky"	"Census Tract 202.01, Bullitt County, Kentucky"	21538946	277612	5058	213	1561	1594	936	625	68	61
"21029020202"	"SL140"	"Census Tract 202.02, Bullitt County, Kentucky"	"Census Tract 202.02, Bullitt County, Kentucky"	27205463	321594	3264	196	991	1227	372	419	36	23
"21029020300"	"SL140"	"Census Tract 203, Bullitt County, Kentucky"	"Census Tract 203, Bullitt County, Kentucky"	20433901	418951	4495	265	1820	1441	501	404	46	18
"21029020401"	"SL140"	"Census Tract 204.01, Bullitt County, Kentucky"	"Census Tract 204.01, Bullitt County, Kentucky"	15932483	404599	1403	177	473	498	161	78	10	6
"21029020402"	"SL140"	"Census Tract 204.02, Bullitt County, Kentucky"	"Census Tract 204.02, Bullitt County, Kentucky"	19004780	278971	4517	642	1814	1144	665	228	24	0
"21029020501"	"SL140"	"Census Tract 205.01, Bullitt County, Kentucky"	"Census Tract 205.01, Bullitt County, Kentucky"	1632882	3652	2424	381	825	850	261	34	49	24
