bgp1990gj,tr2010gj,tr2010ge,parea,wt_pop,wt_adult,wt_fam,wt_hh,wt_hu,wt_ownhu,wt_renthu
G210111092104480000027039999999452013,G2101110002700,21111002700,1,1,1,1,1,1,1,1
G210111092104480000027039999999452014,G2101110002700,21111002700,1,1,1,1,1,1,1,1
G210111092104480000027039999999452015,G2101110002700,21111002700,1,1,1,1,1,1,1,1
G210111092104480000028039999999452011,G2101110002800,21111002800,1,1,1,1,1,1,1,1
G210111092104480000028039999999452012,G2101110002800,21111002800,1,1,1,1,1,1,1,1
G210111092104480000028039999999452013,G2101110002800,21111002800,1,1,1,1,1,1,1,1
G210111092104480000030039999999452011,G2101110002300,21111002300,0.0003135835,0.0001421625,0.0001283679,0.0002333564,0.000161228,0.0001836473,0.0008581492,0
G210111092104480000030039999999452011,G2101110002400,21111002400,0.0001914715,0,0,0,0,0,0,0
G210111092104480000030039999999452011,G2101110003000,21111003000,0.9057500973,0.9998578375,0.9998716321,0.9997666436,0.999838772,0.9998163527,0.9991418508,1
G210111092104480000030039999999452011,G2101110004900,21111004900,0.0937448477,0,0,0,0,0,0,0
G210111092104480000030039999999452012,G2101110002400,21111002400,0.001195654,0,0,0,0,0,0,0
G210111092104480000030039999999452012,G2101110003000,21111003000,0.998804346,1,1,1,1,1,1,1
G210111092104480000030039999999452013,G2101110003000,21111003000,1,1,1,1,1,1,1,1
G210111092104480000030039999999452014,G2101110003000,21111003000,1,1,1,1,1,1,1,1
G210111092104480000030039999999452015,G2101110002400,21111002400,0.0004031889,0,0,0,0,0,0,0
G210111092104480000030039999999452015,G2101110003000,21111003000,0.9995968111,1,1,1,1,1,1,1
G210111092104480000034039999999452011,G2101110002700,21111002700,1,1,1,1,1,1,1,1
G210111092104480000034039999999452012,G2101110002700,21111002700,1,1,1,1,1,1,1,1
G210111092104480000035039999999452011,G2101110003500,21111003500,1,1,1,1,1,1,1,1
G210111092104480000035039999999452012,G2101110003500,21111003500,0.9960086437,0.9954833009,0.9937629295,0.9954509996,0.9951192963,0.9948368325,0.9757386644,0.9981415235
G210111092104480000035039999999452012,G2101110003700,21111003700,0.0039913563,0.0045166991,0.0062370705,0.0045490004,0.0048807037,0.0051631675,0.0242613356,0.0018584765
G210111092104480000035039999999452013,G2101110003500,21111003500,1,1,1,1,1,1,1,1
G210111092104480000036039999999452011,G2101110003600,21111003600,1,1,1,1,1,1,1,1
G210111092104480000036039999999452012,G2101110003600,21111003600,1,1,1,1,1,1,1,1
G210111092104480000036039999999452013,G2101110003600,21111003600,1,1,1,1,1,1,1,1
G210111092104480000036039999999452014,G2101110003600,21111003600,1,1,1,1,1,1,1,1
G210111092104480000036039999999452015,G2101110003600,21111003600,1,1,1,1,1,1,1,1
G210111092104480000036039999999452016,G2101110003600,21111003600,1,1,1,1,1,1,1,1
G210111092104480000036039999999452017,G2101110003600,21111003600,1,1,1,1,1,1,1,1
G210111092104480000036039999999452018,G2101110003600,21111003600,1,1,1,1,1,1,1,1
G210111092104480000037039999999452011,G2101110003700,21111003700,0.9999802031,0.9999429992,0.9999538056,0.9999575224,0.9999507988,0.9999518808,1,0.9999250901
G210111092104480000037039999999452011,G2101110005300,21111005300,0.0000197969,0.0000570008,0.0000461944,0.0000424776,0.0000492012,0.0000481192,0,0.0000749099
G210111092104480000037039999999452012,G2101110003700,21111003700,0.9697751407,0.99961732,0.9994848913,0.9993857894,0.9995784795,0.9995764034,0.9990935629,0.9997558881
G210111092104480000037039999999452012,G2101110007100,21111007100,0.0302248593,0.00038268,0.0005151087,0.0006142106,0.0004215205,0.0004235966,0.0009064371,0.0002441119
G210111092104480000037039999999452013,G2101110003700,21111003700,1,1,1,1,1,1,1,1
G210111092104480000037039999999452014,G2101110003700,21111003700,1,1,1,1,1,1,1,1
G210111092104480000037039999999452015,G2101110003700,21111003700,1,1,1,1,1,1,1,1
G210111092104480000038039999999452011,G2101110003800,21111003800,1,1,1,1,1,1,1,1
G210111092104480000038039999999452012,G2101110003800,21111003800,1,1,1,1,1,1,1,1
G210111092104480000038039999999452013,G2101110003800,21111003800,1,1,1,1,1,1,1,1
G210111092104480000038039999999452014,G2101110003800,21111003800,1,1,1,1,1,1,1,1
G210111092104480000038039999999452015,G2101110003800,21111003800,1,1,1,1,1,1,1,1
G210111092104480000039039999999452011,G2101110003900,21111003900,1,1,1,1,1,1,1,1
G210111092104480000039039999999452012,G2101110003900,21111003900,1,1,1,1,1,1,1,1
G210111092104480000039039999999452013,G2101110003900,21111003900,1,1,1,1,1,1,1,1
G210111092104480000039039999999452014,G2101110003900,21111003900,1,1,1,1,1,1,1,1
G210111092104480000039039999999452015,G2101110003900,21111003900,1,1,1,1,1,1,1,1
G210111092104480000039039999999452016,G2101110003900,21111003900,1,1,1,1,1,1,1,1
G210111092104480000040039999999452011,G2101110004000,21111004000,1,1,1,1,1,1,1,1
G210111092104480000040039999999452012,G2101110004000,21111004000,1,1,1,1,1,1,1,1
G210111092104480000040039999999452013,G2101110004000,21111004000,1,1,1,1,1,1,1,1
G210111092104480000041039999999452011,G2101110003700,21111003700,0.0286622699,0.0002907677,0.0002895494,0.0002962057,0.0002480857,0.0002709769,0.0003506109,0.0001919546
G210111092104480000041039999999452011,G2101110004000,21111004000,0.1036501073,0.1067125645,0.1033707865,0.124137931,0.1010830325,0.0883280757,0.112244898,0.094972067
G210111092104480000041039999999452011,G2101110004100,21111004100,0.8644297189,0.8929966678,0.896339664,0.8755658632,0.8986688818,0.9114009474,0.8874044912,0.9048359784
G210111092104480000041039999999452011,G2101110007100,21111007100,0.003257904,0,0,0,0,0,0,0
G210111092104480000041039999999452012,G2101110004100,21111004100,1,1,1,1,1,1,1,1
G210111092104480000041039999999452013,G2101110004100,21111004100,1,1,1,1,1,1,1,1
G210111092104480000041039999999452014,G2101110004100,21111004100,1,1,1,1,1,1,1,1
G21011109210448000004301039999999452015,G2101110004301,21111004301,0.9883730088,1,1,1,1,1,1,1
G21011109210448000004301039999999452015,G2101110012301,21111012301,0.0042972729,0,0,0,0,0,0,0
G21011109210448000004301039999999452015,G2101110012802,21111012802,0.0073297183,0,0,0,0,0,0,0
G21011109210448000004301039999999452016,G2101110004301,21111004301,1,1,1,1,1,1,1,1
G21011109210448000004301039999999452017,G2101110004301,21111004301,1,1,1,1,1,1,1,1
G21011109210448000004302039999999452011,G2101110004302,21111004302,1,1,1,1,1,1,1,1
G21011109210448000004302039999999452012,G2101110004302,21111004302,1,1,1,1,1,1,1,1
G21011109210448000004302039999999452013,G2101110004302,21111004302,1,1,1,1,1,1,1,1
G21011109210448000004302039999999452014,G2101110004302,21111004302,1,1,1,1,1,1,1,1
G210111092104480000044039999999452011,G2101110004400,21111004400,1,1,1,1,1,1,1,1
G210111092104480000044039999999452012,G2101110004400,21111004400,1,1,1,1,1,1,1,1
G210111092104480000044039999999452013,G2101110004400,21111004400,1,1,1,1,1,1,1,1
G210111092104480000044039999999452014,G2101110004400,21111004400,1,1,1,1,1,1,1,1
G210111092104480000044039999999452015,G2101110004400,21111004400,1,1,1,1,1,1,1,1
G210111092104480000044039999999452016,G2101110004400,21111004400,1,1,1,1,1,1,1,1
G210111092104480000044039999999452017,G2101110004400,21111004400,0.9504084108,1,1,1,1,1,1,1
G210111092104480000044039999999452017,G2101110005600,21111005600,0.0495915892,0,0,0,0,0,0,0
G210111092104480000045039999999452011,G2101110004500,21111004500,1,1,1,1,1,1,1,1
G210111092104480000045039999999452012,G2101110004500,21111004500,1,1,1,1,1,1,1,1
G210111092104480000045039999999452013,G2101110004500,21111004500,1,1,1,1,1,1,1,1
G210111092104480000045039999999452014,G2101110004302,21111004302,0.1396012526,0.2855530474,0.3043478261,0.0068027211,0.0139534884,0.0131004367,0.015503876,0.011627907
G210111092104480000045039999999452014,G2101110004500,21111004500,0.8603987474,0.7144469526,0.6956521739,0.9931972789,0.9860465116,0.9868995633,0.984496124,0.988372093
G210111092104480000046039999999452011,G2101110004600,21111004600,1,1,1,1,1,1,1,1
G210111092104480000046039999999452012,G2101110004600,21111004600,1,1,1,1,1,1,1,1
G210111092104480000046039999999452013,G2101110004600,21111004600,1,1,1,1,1,1,1,1
G210111092104480000046039999999452014,G2101110004600,21111004600,1,1,1,1,1,1,1,1
G210111092104480000046039999999452015,G2101110004600,21111004600,1,1,1,1,1,1,1,1
G210111092104480000049039999999452011,G2101110000200,21111000200,0.0129950018,0,0,0,0,0,0,0
