tr2010gj,tr2010ge,tr2020gj,tr2020ge,parea,wt_pop,wt_adult,wt_fam,wt_hh,wt_hu,wt_ownhu,wt_renthu
G2100190030500,21019030500,G2100190030500,21019030500,0.9996039256,1,1,1,1,1,1,1
G2100190030600,21019030600,G2100190030600,21019030600,1,1,1,1,1,1,1,1
G2100190030700,21019030700,G2100190030700,21019030700,1,1,1,1,1,1,1,1
G2100190030800,21019030800,G2100190030800,21019030800,1,1,1,1,1,1,1,1
G2100190030900,21019030900,G2100190030900,21019030900,1,1,1,1,1,1,1,1
G2100190031001,21019031001,G2100190031001,21019031001,1,1,1,1,1,1,1,1
G2100190031002,21019031002,G2100190030800,21019030800,0.0008521649,0.002448862,0.0022569444,0.0025062657,0.0037243948,0.0047434239,0.0017321016,0.0120192308
G2100190031002,21019031002,G2100190031001,21019031001,0.0123159918,0,0,0,0,0,0,0
G2100190031002,21019031002,G2100190031003,21019031003,0.4511865545,0.4961457801,0.5232620434,0.3511073729,0.3533985678,0.3554902773,0.360237313,0.3249257155
G2100190031002,21019031002,G2100190031004,21019031004,0.5356452888,0.5014053579,0.4744810122,0.6463863614,0.6428770374,0.6397662988,0.6380305854,0.6630550537
G2100190031100,21019031100,G2100190031001,21019031001,0.001027037,0.0011365071,0.0013382402,0.0012864494,0.0016518005,0.0015375154,0.0011848341,0.004040404
G2100190031100,21019031100,G2100190031101,21019031101,0.3970049196,0.7141577577,0.7241371078,0.7231550432,0.7280797599,0.7262156219,0.7265926465,0.7356865705
G2100190031100,21019031100,G2100190031102,21019031102,0.6019680434,0.2847057352,0.274524652,0.2755585074,0.2702684396,0.2722468627,0.2722225194,0.2602730255
G2100190031200,21019031200,G2100190031101,21019031101,0.0008201169,0.001158413,0.0007473842,0.0009587728,0.0007501875,0.0006920415,0.0008613264,0
G2100190031200,21019031200,G2100190031200,21019031200,0.9990240529,0.998841587,0.9992526158,0.9990412272,0.9992498125,0.9993079585,0.9991386736,1
